m,run_time,n,d,n_cluster,seed
2,8.745800971984863,10000.0,1.0,1.0,0.0
3,8.64851689338684,10000.0,1.0,1.0,0.0
4,8.863221168518066,10000.0,1.0,1.0,0.0
5,9.01921796798706,10000.0,1.0,1.0,0.0
6,9.386573076248169,10000.0,1.0,1.0,0.0
7,9.824009895324707,10000.0,1.0,1.0,0.0
8,10.065245866775513,10000.0,1.0,1.0,0.0
9,10.648983716964722,10000.0,1.0,1.0,0.0
10,11.080915927886963,10000.0,1.0,1.0,0.0
2,8.781400203704834,10000.0,1.0,1.0,1.0
3,8.839637756347656,10000.0,1.0,1.0,1.0
4,9.00488805770874,10000.0,1.0,1.0,1.0
5,9.10710096359253,10000.0,1.0,1.0,1.0
6,9.258669137954712,10000.0,1.0,1.0,1.0
7,9.727499961853027,10000.0,1.0,1.0,1.0
8,10.03744888305664,10000.0,1.0,1.0,1.0
9,10.052549839019775,10000.0,1.0,1.0,1.0
10,11.003549814224243,10000.0,1.0,1.0,1.0
2,8.965644121170044,10000.0,1.0,1.0,2.0
3,8.786976099014282,10000.0,1.0,1.0,2.0
4,8.941501379013062,10000.0,1.0,1.0,2.0
5,9.08926010131836,10000.0,1.0,1.0,2.0
6,9.363511085510254,10000.0,1.0,1.0,2.0
7,9.842608213424683,10000.0,1.0,1.0,2.0
8,10.188780069351196,10000.0,1.0,1.0,2.0
9,10.417524814605713,10000.0,1.0,1.0,2.0
10,11.2050621509552,10000.0,1.0,1.0,2.0
2,8.918660879135132,10000.0,1.0,1.0,3.0
3,8.930592060089111,10000.0,1.0,1.0,3.0
4,9.18103814125061,10000.0,1.0,1.0,3.0
5,9.064989805221558,10000.0,1.0,1.0,3.0
6,9.34884786605835,10000.0,1.0,1.0,3.0
7,9.733799934387207,10000.0,1.0,1.0,3.0
8,9.946392059326172,10000.0,1.0,1.0,3.0
9,10.561697959899902,10000.0,1.0,1.0,3.0
10,11.182523250579834,10000.0,1.0,1.0,3.0
2,8.937678098678589,10000.0,1.0,1.0,4.0
3,8.917302131652832,10000.0,1.0,1.0,4.0
4,9.087939023971558,10000.0,1.0,1.0,4.0
5,8.940670013427734,10000.0,1.0,1.0,4.0
6,9.273090124130249,10000.0,1.0,1.0,4.0
7,9.62906002998352,10000.0,1.0,1.0,4.0
8,10.084165096282959,10000.0,1.0,1.0,4.0
9,10.392527103424072,10000.0,1.0,1.0,4.0
10,10.984035015106201,10000.0,1.0,1.0,4.0
2,8.869635820388794,10000.0,1.0,1.0,5.0
3,8.816538095474243,10000.0,1.0,1.0,5.0
4,8.912055730819702,10000.0,1.0,1.0,5.0
5,9.083439826965332,10000.0,1.0,1.0,5.0
6,9.310826063156128,10000.0,1.0,1.0,5.0
7,9.587548017501831,10000.0,1.0,1.0,5.0
8,9.919688940048218,10000.0,1.0,1.0,5.0
9,10.479244947433472,10000.0,1.0,1.0,5.0
10,10.94876503944397,10000.0,1.0,1.0,5.0
2,8.89556097984314,10000.0,1.0,1.0,6.0
3,8.850461959838867,10000.0,1.0,1.0,6.0
4,8.89135193824768,10000.0,1.0,1.0,6.0
5,9.064908027648926,10000.0,1.0,1.0,6.0
6,9.496870756149292,10000.0,1.0,1.0,6.0
7,9.549499034881592,10000.0,1.0,1.0,6.0
8,9.956679105758667,10000.0,1.0,1.0,6.0
9,10.38122296333313,10000.0,1.0,1.0,6.0
10,10.971170902252197,10000.0,1.0,1.0,6.0
2,8.802183389663696,10000.0,1.0,1.0,7.0
3,8.789176940917969,10000.0,1.0,1.0,7.0
4,8.912643194198608,10000.0,1.0,1.0,7.0
5,9.059840679168701,10000.0,1.0,1.0,7.0
6,9.305247068405151,10000.0,1.0,1.0,7.0
7,9.570016860961914,10000.0,1.0,1.0,7.0
8,9.871380805969238,10000.0,1.0,1.0,7.0
9,10.344063997268677,10000.0,1.0,1.0,7.0
10,10.903545141220093,10000.0,1.0,1.0,7.0
2,8.761025190353394,10000.0,1.0,1.0,8.0
3,8.747371912002563,10000.0,1.0,1.0,8.0
4,8.860137224197388,10000.0,1.0,1.0,8.0
5,8.996542930603027,10000.0,1.0,1.0,8.0
6,9.231088876724243,10000.0,1.0,1.0,8.0
7,9.517474174499512,10000.0,1.0,1.0,8.0
8,9.91410493850708,10000.0,1.0,1.0,8.0
9,10.369904041290283,10000.0,1.0,1.0,8.0
10,10.911430835723877,10000.0,1.0,1.0,8.0
2,8.659225702285767,10000.0,1.0,1.0,9.0
3,8.722856998443604,10000.0,1.0,1.0,9.0
4,8.863637924194336,10000.0,1.0,1.0,9.0
5,8.987114191055298,10000.0,1.0,1.0,9.0
6,9.215001821517944,10000.0,1.0,1.0,9.0
7,9.540356874465942,10000.0,1.0,1.0,9.0
8,9.821278095245361,10000.0,1.0,1.0,9.0
9,10.236257791519165,10000.0,1.0,1.0,9.0
10,10.978783130645752,10000.0,1.0,1.0,9.0
