Dataset,Method,runtime,f1-score,recall,precision,accuracy,wasserstein-distance,adjusted-rand-index
Zoo,BOS Random,45.74899911880493,0.7743363150269695,0.7821782178217822,0.7932625195292639,0.7821782178217822,0.34653465346534656,0.763572242219472
Zoo,BOS K-Means,4.618661880493164,0.8589010161520353,0.8415841584158416,0.9018194127105018,0.8415841584158416,0.16831683168316836,0.9009873369105987
Zoo,GOD Random,50.06371808052063,0.8721118485840069,0.8613861386138614,0.9032217507465032,0.8613861386138614,0.22772277227722781,0.8264032361672946
Zoo,GOD K-Means,14.591684103012085,0.8663135221085133,0.8514851485148515,0.9029074336005029,0.8514851485148515,0.13861386138613863,0.9034255064024008
Zoo,K-Means,0.006134033203125,0.7015064841291737,0.6435643564356436,0.8473275899018472,0.6435643564356436,0.8415841584158418,0.5779536210057218
Zoo,Gaussian,0.372089147567749,0.7884245818065516,0.7623762376237624,0.8685289957567186,0.7623762376237624,0.32673267326732675,0.7279792837321766
Car Evaluation,BOS Random,520.8852641582489,0.4617492502861534,0.4,0.6114667729930888,0.4,0.6640000000000001,0.017883867844404974
Car Evaluation,BOS K-Means,456.9896922111511,0.4177932959211155,0.372,0.58362843556596,0.372,0.732,-0.0109694846276752
Car Evaluation,GOD Random,28.400092124938965,0.4296117269363192,0.4,0.47281574430378176,0.4,0.41200000000000003,-0.036783853508253236
Car Evaluation,GOD K-Means,19.25228786468506,0.46295980199060727,0.388,0.6972054945054945,0.388,0.94,0.05074969618661706
Car Evaluation,K-Means,0.006627082824707031,0.405465564738292,0.344,0.6055209057758232,0.344,0.9120000000000001,0.013033298241453063
Car Evaluation,Gaussian,0.031677961349487305,0.43901070493871747,0.36,0.6732188448475213,0.36,1.072,0.022994251606696218
Hayes-Roth,BOS Random,336.8359570503235,0.37107509200532457,0.3939393939393939,0.3842948717948718,0.3939393939393939,0.2500000000000001,0.0003652337118101241
Hayes-Roth,BOS K-Means,110.7808129787445,0.3556488931906062,0.3560606060606061,0.380501443001443,0.3560606060606061,0.2954545454545454,-0.013271962283818087
Hayes-Roth,GOD Random,11.14753794670105,0.36732889914708095,0.3939393939393939,0.4048042537172972,0.3939393939393939,0.24999999999999994,-0.007296184246553906
Hayes-Roth,GOD K-Means,8.486784934997559,0.36515232079748206,0.36363636363636365,0.38422619047619044,0.36363636363636365,0.2348484848484848,-0.012125913211667961
Hayes-Roth,K-Means,0.004001140594482422,0.3379800853485064,0.3333333333333333,0.3502066115702479,0.3333333333333333,0.15909090909090912,-0.01491396020177711
Hayes-Roth,Gaussian,0.019132137298583984,0.4488789601705388,0.45454545454545453,0.4566855154414964,0.45454545454545453,0.11363636363636365,0.06646595700056007
Caesarian,BOS Random,57.25735807418823,0.41400000000000003,0.5625,0.3275316455696203,0.5625,0.4125,-0.00651840490797546
Caesarian,BOS K-Means,39.42930603027344,0.5273989898989898,0.525,0.5323934837092732,0.525,0.04999999999999999,-0.010023006773860716
Caesarian,GOD Random,3.3881709575653076,0.5394761829403386,0.5375,0.5429446888749214,0.5375,0.03750000000000003,-0.006891037965597683
Caesarian,GOD K-Means,3.440420150756836,0.589764705882353,0.5875,0.6010162601626016,0.5875,0.08749999999999997,0.018473956063674347
Caesarian,K-Means,0.004766941070556641,0.5649019607843137,0.5625,0.5759068167604753,0.5625,0.08749999999999997,0.0032859321729768525
Caesarian,Gaussian,0.009085893630981445,0.6,0.6,0.6,0.6,0.0,0.027748399130819376
